xe;yle;yre
4;0.04;0.00
6;0.05;0.01
8;0.07;0.02
10;0.07;0.05
12;0.10;0.05
14;0.11;0.07
16;0.12;0.09
18;0.13;0.09
20;0.13;0.10
22;0.14;0.12
24;0.15;0.15
26;0.16;0.15
