xe;ye
50;3.48
47.5;3.31
45;3.05
42.5;2.75
40;2.43
37.5;2.29
35;2.04
32.5;1.80
30;1.57
27.5;1.36
25;1.16
22.5;0.96
20;0.79
17.5;0.63
15;0.47
12.5;0.34
10;0.22
7.5;0.13
5;0.06
2.7;0.04
